exp	azimuth	deepcrispr	deephf
0.34531070137528497	0.7293	0.2290918529	0.7339240312576294
0.189071599862966	0.6923	0.1688098311	0.7047399878501892
0.0933177011715114	0.4228	0.1163548082	0.5991687774658203
0.10719012768607901	0.6989	0.1227823794	0.6804409623146057
0.25132694682193396	0.6749	0.1023535579	0.7364386916160583
0.301240560949298	0.6261	0.2266121507	0.7175897359848022
0.3880105401844529	0.6152	0.1694354415	0.697083592414856
0.682300224047796	0.6132	0.1629040986	0.6902258992195129
0.19819965386244898	0.6996	0.1409137547	0.598362147808075
0.28224445727372105	0.6295	0.2272409350	0.5828198194503784
0.5547838256725799	0.5881	0.1694825739	0.6028744578361511
0.509934482267483	0.6711	0.1964001656	0.6874433755874634
0.0903361344537815	0.6909	0.1550354958	0.5771622657775879
0.371064286741887	0.664	0.4552078247	0.6720862984657288
0.4986839219127	0.7466	0.4201246500	0.6992382407188416
0.5914467697907181	0.72	0.4632360041	0.6684032678604126
0.5104567307692299	0.5648	0.1544162184	0.5007789134979248
0.646071665383706	0.6501	0.3990804553	0.6655030846595764
0.48188906349836796	0.7205	0.2861638069	0.727939784526825
0.443399452804377	0.6365	0.2129858434	0.5538673996925354
0.23238714090287196	0.6143	0.1588153243	0.726172685623169
0.273173868930783	0.5526	0.1275297701	0.5960514545440674
0.621496480871835	0.6306	0.4123597443	0.672460675239563
0.17823095127848898	0.6346	0.1241185665	0.6374041438102722
0.126851851851851	0.7044	0.2066756785	0.5625162124633789
0.137440191387559	0.6951	0.1804884374	0.6476268768310547
0.170133907221425	0.7027	0.3592261374	0.7415960431098938
0.348080459129659	0.7085	0.2287913561	0.7237606048583984
0.621059782608695	0.5949	0.1692657173	0.5932708978652954
0.137367457632837	0.6361	0.1222750992	0.44617536664009094
0.5934065934065931	0.6902	0.1319928318	0.6448352336883545
0.554966044142614	0.6883	0.2522680163	0.7255825996398926
0.7714213709677421	0.6265	0.1146814078	0.6102433204650879
0.49193316047248603	0.6754	0.3477157950	0.6731152534484863
0.8440122044241031	0.6255	0.5056412816	0.5929122567176819
0.41341471258453294	0.5985	0.1197946072	0.6260010600090027
0.484964444749967	0.6718	0.1601755172	0.676663339138031
0.454104179734276	0.6493	0.2254930735	0.6422871351242065
0.47701193833790506	0.6006	0.1543610841	0.6479383111000061
0.899414404937232	0.7373	0.3294556737	0.6694364547729492
0.0855570760634051	0.6908	0.4017298222	0.6712258458137512
0.19567821139834304	0.6765	0.2992303967	0.7469882369041443
0.7866666666666658	0.6318	0.4224462509	0.5873464941978455
0.434375	0.6411	0.3424888253	0.6515361070632935
0.58553196053196	0.6112	0.3554111719	0.6503750085830688
0.192485003267996	0.5522	0.3319463134	0.7500787973403931
0.36767676767676705	0.5923	0.3207274377	0.6233720183372498
0.439962121212121	0.5793	0.3686764240	0.6839281320571899
0.231254996003197	0.6877	0.5149013996	0.7206811308860779
0.0574415372209489	0.7446	0.2928003967	0.6413682103157043
0.34954714276405796	0.643	0.1486217827	0.6121461987495422
0.6318181818181811	0.7294	0.1200648397	0.7040776014328003
0.12307147163523899	0.6692	0.3495305479	0.6799243092536926
0.13411938788889	0.7131	0.1301440001	0.614683985710144
0.0863408367996085	0.7274	0.1598276943	0.6928843259811401
0.13909248698239499	0.6892	0.1317400485	0.7137342095375061
0.3612044817927171	0.6702	0.3831270039	0.7422703504562378
0.0909903349662385	0.7155	0.4301533401	0.6138268709182739
0.198755075733797	0.5549	0.1469530761	0.5028024911880493
0.11642098151219199	0.6896	0.1942881346	0.6809462904930115
0.0749770635769602	0.7759	0.4923853874	0.722650408744812
0.345490736487521	0.7094	0.4498883188	0.7324750423431396
0.597402597402597	0.6674	0.2167257220	0.680203914642334
0.542555998389135	0.7134	0.2436314225	0.7030868530273438
0.810563283883442	0.7809999999999999	0.1044383049	0.7302874326705933
0.60268817204301	0.6453	0.2765386999	0.5817697048187256
0.277027027027027	0.7164	0.1184246838	0.7181745171546936
0.31677379224549	0.6368	0.4367218614	0.6825138330459595
0.579064154914273	0.5183	0.1673858464	0.6419076323509216
0.302869242070694	0.7542	0.3415113091	0.727916955947876
